frame1,frame2,image_diff,gt_diff,,,,,,
00054156.png,00054157.png,9.33461952209473,1.77632570266724,0.13,,,,,
00054157.png,00054158.png,13.5771369934082,1.98345482349396,0.21,,,,,
00054158.png,00054159.png,8.59792995452881,1.41938459873199,0.56,,,,,
00054159.png,00054160.png,8.53006553649902,1.73210501670837,0.31,,,,,
00054160.png,00054161.png,8.8473014831543,1.90130734443665,0.17,,,,,
00054161.png,00054162.png,14.2621622085571,2.63903784751892,0.74,,,,,
00054162.png,00054163.png,9.4360990524292,1.99012637138367,0.65,,,,,
00054163.png,00054164.png,9.25437641143799,1.98678624629974,0.00,,,,,
00054164.png,00054165.png,9.11960029602051,1.80442559719086,0.18,,,,,
00054165.png,00054166.png,9.25605869293213,1.73751831054688,0.07,,,,,
00054166.png,00054167.png,13.834493637085,2.16417479515076,0.43,,,,,
00054167.png,00054168.png,8.87739753723145,1.99748170375824,0.17,,,,,
00054168.png,00054169.png,12.9807443618774,2.71538424491882,0.72,,,,,
00054169.png,00054170.png,8.42184448242188,2.16445994377136,0.55,,,,,
00054170.png,00054171.png,8.44149398803711,1.76465427875519,0.40,,,,,
00054171.png,00054172.png,8.30790138244629,1.72765290737152,0.04,,,,,
00054172.png,00054173.png,8.21026039123535,1.54528892040253,0.18,,,,,
00054173.png,00054174.png,8.30019187927246,1.46692276000977,0.08,,,,,
00054174.png,00054175.png,12.5508966445923,2.36341238021851,0.90,,,,,
00054175.png,00054176.png,8.22033596038818,1.83152878284454,0.53,,,,,
00054176.png,00054177.png,8.15725994110107,1.65686678886414,0.17,,,,,
00054177.png,00054178.png,8.31854724884033,1.6366753578186,0.02,,,,,
00054178.png,00054179.png,8.27944564819336,1.82488858699799,0.19,,,,,
00054179.png,00054180.png,8.22964859008789,1.69628858566284,0.13,,,,,
00054180.png,00054181.png,8.22307586669922,1.69722080230713,0.00,,,,,
00054181.png,00054182.png,12.1720113754272,2.106201171875,0.41,,,,,
00054182.png,00054183.png,12.2519273757935,2.33104395866394,0.22,,,,,
00054183.png,00054184.png,8.13768291473389,1.53979742527008,0.79,,,,,
00054184.png,00054185.png,8.23378753662109,1.89884257316589,0.36,,,,,
00054185.png,00054186.png,8.29275894165039,1.72194349765778,0.18,,,,,
00054186.png,00054187.png,12.2626867294312,2.40410208702087,0.68,,,,,
00054187.png,00054188.png,11.6286420822144,4.25897312164307,1.85,,,,,
00054188.png,00054189.png,8.65180397033691,3.77817368507385,0.48,,,,,
00054189.png,00054190.png,8.94089794158936,3.76202535629272,0.02,,,,,
00054190.png,00054191.png,7.99392747879028,3.16839838027954,0.59,,,,,
00054191.png,00054192.png,7.94613122940064,2.77592301368713,0.39,,,,,
00054192.png,00054193.png,7.80952882766724,3.53132963180542,0.76,,,,,
00054193.png,00054194.png,11.6089658737183,4.81050491333008,1.28,,,,,
00054194.png,00054195.png,7.89075374603272,3.81287288665772,1.00,,,,,
00054195.png,00054196.png,11.611330986023,5.1028847694397,1.29,,,,,
00054196.png,00054197.png,7.98886966705322,4.34191131591797,0.76,,,,,
00054197.png,00054198.png,8.03470611572266,3.68402814865112,0.66,,,,,
00054198.png,00054199.png,8.13742542266846,4.20969295501709,0.53,,,,,
00054199.png,00054200.png,7.989830493927,4.23524713516235,0.03,,,,,
00054200.png,00054201.png,7.87195062637329,4.23430395126343,0.00,,,,,
00054201.png,00054202.png,7.9190559387207,5.63042068481445,1.40,,,,,
00054202.png,00054203.png,11.8138866424561,5.9466814994812,0.32,,,,,
00054203.png,00054204.png,8.11252307891846,4.91013717651367,1.04,,,,,
